,SearchID,Speaker,LeftContext,RightContext,C1,C2,Schwa,C3,Codes,City,Discourse,Schwa,Word,Left,Right,Sex,Region,Zone,SchwaBin
54670,658,cqajs1,ut dacouvrir0412 ce,"qu'il appelle0414 \\""la campagne0412 profonde0413\""""",R,s,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54676,664,cqajs1,122 Premier Ministre,", lassa des circuits habituel0412s qui tournaient",t,R,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54678,666,cqajs1,"0312ment, car0412 le","Premier Ministre1422, lassa des circuits habitue",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54683,671,cqajs1,"nt, son usine0412 de",pates0411 italiennes0413.,n,d,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54686,674,cqajs1,ux olympique0412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54690,678,cqajs1,hampion local0412 de,"course0421 a pied, Louis Garret,",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54699,687,cqamg1,MG: Quelque,s fanatique0414s auraient mame0411 entama un je,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54704,692,cqamg1,"L'Express0413, Ouest",Liberta et Le1112 Nouvel0411 Observateur0413,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
54711,699,cqamg1,"De1132 plus, quelque",s article0424s parus dans La Dapache0412 du Cent,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54721,709,cqamg1,jaloux de1112 notre,liberta.,t,R,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54723,711,cqamg1,s d'identita risque,nt de1112 provoquer une0411 explosion.,s,k,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54728,716,cqamg1,est fait pour0412 le,protager.,R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54737,725,cqamg1,"423, le1132 gouverne",ment prend contact0421 avec0412 la prafecture0412,R,n,ə,m,1322,Quebec ville (universite),read,yes,polysyl2,C,C,F,Quebec,Canada,1
54741,729,cqamg1,MG: D'un autre,"cata, a chaque0412 voyage0412 du Premier Minis",t,R,ə,k,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54752,740,cqamg1,ne1122 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54759,747,cqamg1,Le1132 maire0412 de,"Beaulieu, Marc1422 Blanc, est en re1212vanche041",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54760,748,cqamg1,"1122 Beaulieu, Marc","Blanc, est en re1212vanche0412 tres inquiet.",R,k,ə,b,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
