"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
51274,"75ccm1",1122,"0 au cours de la tournée de la région en fin d’année.","R","d","l",1,0,3,"y","R","d","l",,"R","d","l"
51283,"75ccm1",1122,"e village de Beaulieu est en grand émoi.","ʒ","d","b",1,0,0,"y","ʒ","d","b",,,,
51286,"75ccr1",1122,"ls titres de gloire de Beaulieu","R","d","g",1,0,0,"y","R","d","g",,,,
51287,"75ccr1",1422,"les seuls titres de gloire de Beaulieu","t","R","d",0,1,0,"n","t","R","d",,,,
51290,"75ccr1",1122,"au cours de sa tournée de la région en fin d’année.","R","d","s",1,0,1,"y","R","d","s",,,,
51299,"75ccr1",1122,"e village de Beaulieu est en grand émoi","ʒ","d","b",1,0,0,"y","ʒ","d","b",,"ʒ","d","b"
51331,"75clb1",1422,"les seuls titres de gloire de Beaulieu étaient son v","t","R","d",0,1,0,"n","t","R","d",,,,
51335,"75clb1",1122,"au cours de sa tournée de la/ de la région en fin d","R","d","s",1,0,1,"y","R","d","s",,,,
51344,"75clb1",1122,"e village de Beaulieu est en grand émoi.","ʒ","d","b",1,0,0,"y","ʒ","d","b",,,,
51377,"75csb1",422,"les seuls titres de gloire de Beaulieu","t","R","d",0,1,0,"n","t","R","d",,,,
51380,"75csb1",1122,"0 au cours de sa tournée de la région en fin d’année.","R","d","s",1,0,1,"y","R","d","s",,,,
51389,"75csb1",1122,"e village de Beaulieu est en grand émoi.","ʒ","d","b",1,0,0,"y","ʒ","d","b",,,,
51415,"75cac1",422,"au centre d’une bataille politique dont,","t","R","d",0,1,0,"n","t","R","d",,,,
51425,"75ccm1",422,"1 trouver au centre d’une bataille politique","t","R","d",0,1,0,"n","t","R","d",,,,
51429,"75ccr1",422,"1 trouver au centre d’une bataille politique","t","R","d",0,1,0,"n","t","R","d",,,,
51445,"75clb1",1422,"1 trouver au centre d’une bataille politique","t","R","d",0,1,0,"n","t","R","d",,,,
51460,"75csb1",422,"1 trouver au centre d’une bataille politique","t","R","d",0,1,0,"n","t","R","d",,,,
122581,"75cac1",1122,"st un espèce de système ouais permanent de vei","s","d","s",1,0,1,"y","s","d","s",,,,
122589,"75cac1",1422,"s peu de contact s directs.","k","t","d",0,0,0,"y","k","t","d",,,,
122595,"75cac1",1222,"un ordinateur devant des e-mails toute la journée avec","R","d","v",1,0,1,"y","R","d","v",,,,
122603,"75cac1",1422,"i oui> parce que la/ la/ le monde du travail a énorm","s","k","l",1,0,3,"y","s","k","l",,,,
122631,"75cac1",1122,": Ben moi je le vois pas comme ça euh je j’ai tendance","ʒ","l","v",1,3,1,"n","ʒ","l","v",,,,
122647,"75cac1",1122,"q heures que trente-cinq heures hum. E","R","k","t",1,0,0,"y","R","k","t",,,,
122653,"75cac1",1122,"AC : Avec le statut que je fais euh c’est plutôt.","k","l","s",0,3,1,"n","k","l","s",,,,
122655,"75cac1",1122,"0 travail que je fais.","j","k","ʒ",4,0,1,"y","j","k","ʒ","*",,,
